Iter;Before STL;STL;Second preproccess;ML phase;Full pipeline;Full pipeline with data load
1;0,85;174,87;8,73;5,78;190,22;190,26
2;0,81;190,41;9,01;5,76;205,98;206,01
3;0,79;191,06;9,25;5,80;206,90;206,93
4;0,83;183,50;8,15;5,68;198,16;198,20
5;0,79;168,58;1,41;5,82;176,60;176,63
6;0,78;171,44;1,47;5,82;179,51;179,54
7;0,81;171,16;1,45;5,72;179,15;179,19
8;0,77;170,20;1,57;5,81;178,35;178,39
9;0,79;171,34;1,45;5,84;179,43;179,46
10;0,84;171,91;1,49;5,83;180,06;180,10
11;0,80;170,19;1,44;5,75;178,18;178,21
12;0,81;163,42;1,59;5,64;171,45;171,49
13;0,81;172,78;1,55;5,79;180,93;180,96
14;0,78;173,62;1,45;5,81;181,66;181,69
15;0,81;171,91;1,50;5,76;179,98;180,01
